term,coef,std_err,t_stat,p_value,significance
D.DIVP.L0,1.3747980269891196,1.6102840662436144,0.8537611815262979,0.4033475632441484,
D.DIVM.L0,-0.9486265147383608,1.169724223557495,-0.8109830468016578,0.42692143540942706,
D.INF.L0,0.0036601623370714105,0.006637905931134027,0.5514031646492623,0.5874656155146033,
D.EXR.L0,-0.0045471366093297,0.002730431938881059,-1.6653543143042537,0.11142982104401862,
D.log(FDI).L0,0.11560685037583589,0.05838681460270105,1.9800163986080475,0.06162809793611274,*
D.SHOCK.L0,-0.01294183304987008,0.08626445558673078,-0.15002509390276378,0.8822474816894101,
