term,coef,std_err_original,t_stat_original,p_value_original,std_err_hac,t_stat_hac,p_value_hac
const,0.030579328365239643,0.0299026091254097,1.0226307756955864,0.31555823877086786,0.018307018129646885,1.6703609593153046,0.10640215465570561
DIVP,2.3529278361384054,1.3793946151021164,1.7057684656571017,0.0995312193514853,1.1848352437213026,1.985869215662749,0.05728796307923517
DIVM,-1.4023679591902016,1.0439643607542923,-1.3433101855861755,0.1903542191687482,0.8015369057033578,-1.749598738637752,0.0915472931400762
INF,0.00015180770652114162,0.0037577485574981813,0.04039858021320392,0.9680726152493012,0.0026050659857959077,0.05827403503361196,0.9539595044133153
EXR,-0.0035430066885637655,0.0018001788927188543,-1.968141445771912,0.059399409530870195,0.0009717112359267411,-3.6461518170927874,0.001119608073010265
log(FDI),0.1172765018675469,0.05347870702070589,2.1929569430715627,0.037104266223010565,0.04466467957539706,2.625710135669418,0.014067680621040203
SHOCK,-0.010492340912318921,0.08629598760380036,-0.12158550129226231,0.9041276933192279,0.06904873972355759,-0.15195557448732427,0.8803517555863066
