variable,n,mean,std_dev,min,max,median,skewness,excess_kurtosis
ERI,35,0.6198628571428573,0.1706780148592739,0.3391,0.9667,0.6242,0.18997009243685925,-0.5816125406922552
DIVP,35,0.7402822852353864,0.04205119531663452,0.6453462563169314,0.799922916604955,0.7552528089309185,-0.6745793672035109,-0.33838263610566033
DIVM,35,0.7933352337166604,0.03147510137461448,0.6945383083329753,0.8300694301528553,0.7994120038396793,-1.339287280491038,1.8281303780413776
INF,35,10.021856514285714,8.619309651165446,-0.42936,49.7211,7.674849,3.0849813399607826,12.974141111279863
EXR,35,121.24273771428572,74.16630017093475,40.06292,327.5065,108.3338,1.547730652715047,2.332144035831096
FDI (raw),35,513069259.22628576,389463117.3702547,43355119.72,1614044009.0,434075668.5,0.8923758036759967,0.49850890939461756
log(FDI),35,19.69909210028879,0.9500258278123394,17.58493535617812,21.20200867346084,19.888729428249732,-0.5852895414721162,-0.3988534476646102
