term,coef,std_err,t_stat,p_value,significance
D.DIVP.L0,0.04051804374172212,1.715957657204019,0.023612496247571873,0.9814949602455393,
D.DIVP.L1,2.533763641813439,1.6011020889726792,1.582512232832815,0.1358551397209693,
D.DIVM.L0,-1.1236730916461086,1.6788405548570262,-0.6693149557265747,0.5141817753823059,
D.DIVM.L1,-0.26280626572838633,1.0086283232523545,-0.2605580863334861,0.7982266343631657,
D.INF.L0,0.00880371894479846,0.008504379552457864,1.0351982634940233,0.3181275413013523,
D.INF.L1,0.0025794770348538014,0.006946941874447845,0.37131115841656914,0.7159646465071292,
D.EXR.L0,-0.0060612552981221465,0.0034013794921753555,-1.7819991306661478,0.09644319678631308,*
D.EXR.L1,-0.004276967171375715,0.004801692915455161,-0.890720678452694,0.388130372387953,
D.log(FDI).L0,0.1041568438129733,0.10363945123275534,1.0049922358142942,0.33195558236510103,
D.log(FDI).L1,-0.029417025877580598,0.0759044190419602,-0.38755353441699847,0.7041746873205844,
D.SHOCK.L0,-0.09017888906847915,0.13980498994522664,-0.645033407633088,0.5293348654409693,
D.SHOCK.L1,-0.05902712207040227,0.10964961154357615,-0.5383249538184104,0.5988078590268755,
