term,coef,std_err_original,t_stat_original,p_value_original,std_err_hac,t_stat_hac,p_value_hac,maxlags
const,0.01908218270983455,0.027720625124118596,0.6883749058469794,0.4973133367288122,0.01431839722051617,1.3327038226382328,0.1941913082851255,3
DIVP,2.0857529402077186,1.2656457925863929,1.6479752490192434,0.11139156664325892,1.1005756472965709,1.8951472761832546,0.06924349213214195,3
DIVM,-0.973747287801254,0.9696383979224564,-1.004237548644527,0.3245193713046973,0.6622656002685915,-1.4703274447688912,0.15347213730339634,3
INF,0.0010780151210026793,0.003455418552453144,0.3119781597043727,0.7575453117038639,0.0023929875179065983,0.45048923696256227,0.6560919419796146,3
EXR,-0.0031657324005751938,0.0016527282673114217,-1.9154584956213365,0.0664940409590374,0.0008565380209989514,-3.695962494324662,0.0010277737836768546,3
log(FDI),0.10997386168394548,0.04898133355059833,2.245219836049198,0.03347929600994394,0.04276440299864539,2.5716215817961734,0.016190182625501138,3
SHOCK,-0.029130936519266088,0.07924792333027622,-0.3675924276003934,0.7161526058658818,0.06316180249758697,-0.46121129175151393,0.64848221227461,3
