,DIVP,DIVM,INF,EXR,log(FDI),SHOCK
DIVP,1.0,0.5339634713402728,0.06328928555174596,0.46109936225751097,0.4276431171376684,0.18472505529850108
DIVM,0.5339634713402728,1.0,0.13124703179080527,0.4853093551845749,0.5208107813949665,0.40886779962167097
INF,0.06328928555174596,0.13124703179080527,1.0,0.22062629081062357,-0.10297067928071282,0.3730097343651035
EXR,0.46109936225751097,0.4853093551845749,0.22062629081062357,1.0,0.6465022890739497,0.3619598433682965
log(FDI),0.4276431171376684,0.5208107813949665,-0.10297067928071282,0.6465022890739497,1.0,0.213494828915782
SHOCK,0.18472505529850108,0.40886779962167097,0.3730097343651035,0.3619598433682965,0.213494828915782,1.0
