term,long_run_coef,std_err_delta_method,t_stat,p_value,significance,cointegration_confirmed_by_bounds_test
const,2.0187491216856173,1.3369957436127335,1.509914396758436,0.13106526861786638,,False
DIVP,0.01941741131862641,1.027557271493017,0.018896670635606867,0.984923535515724,,False
DIVM,1.2412625982783492,2.1095315254039653,0.5884067544525808,0.5562593051273532,,False
INF,-0.007393515322659117,0.008895080570579285,-0.8311914955681644,0.4058654583649448,,False
EXR,0.00030496169408057505,0.001277452103398214,0.23872651919342516,0.8113176518606684,,False
log(FDI),-0.18690968653693715,0.09519659372861193,-1.963407294485583,0.04959886691240678,**,False
SHOCK,-0.03300740175240455,0.18612333325858418,-0.17734155720576325,0.8592401101503739,,False
