term,long_run_coef,std_err_delta_method,t_stat,p_value,significance,cointegration_confirmed_by_bounds_test
const,1.6779786649243773,1.329219421706809,1.2623789853820655,0.20681244728234294,,False
DIVP,-1.0450924071693872,0.9829197545086561,-1.0632530299401808,0.2876672195090615,,False
DIVM,1.2053645137153461,1.679531597531516,0.7176789739990157,0.47295525057925847,,False
INF,0.002154319921775568,0.007342684114334554,0.29339678627463434,0.7692188816075025,,False
EXR,5.515085161582204e-05,0.0008897048617728875,0.061987805153637845,0.950572543403029,,False
log(FDI),-0.13014034168309938,0.059392771040634756,-2.191181509178301,0.028438660142186878,**,False
SHOCK,0.022791540800082537,0.1305763690484791,0.17454567749253863,0.8614366362262349,,False
