term,long_run_coef,std_err_original,std_err_hac,t_stat_hac,p_value_hac
const,1.6779786649243773,1.329219421706809,0.8466159699762417,1.9819832420258572,0.06139190057570817
DIVP.L1,-1.0450924071693872,0.9829197545086561,0.6762196068789827,-1.5454926129588231,0.1379043722539002
DIVM.L1,1.2053645137153461,1.679531597531516,0.69150421775874,1.7431050784073274,0.09667014024587912
INF.L1,0.002154319921775568,0.007342684114334554,0.006026410358620348,0.35747979204469,0.724477316386082
EXR.L1,5.515085161582204e-05,0.0008897048617728875,0.0006629081607355695,0.0831953125371486,0.9345233033174787
log(FDI).L1,-0.13014034168309938,0.05939277104063477,0.038429438585759076,-3.386475225045986,0.002931344772649749
SHOCK.L1,0.022791540800082537,0.13057636904847914,0.07154046875165142,0.3185824918089655,0.7533461627437371
