regressor,vif,flagged_vif_gt_10
EXR,2.190256483404786,False
log(FDI),2.186234228176159,False
DIVM,1.8681972220260383,False
DIVP,1.5351743798226127,False
SHOCK,1.4164477533097581,False
INF,1.3285250798137596,False
