term,coef,std_err,t_stat,p_value,significance
const,-2.3344819916829063,0.7305224312914851,-3.1956335516704026,0.0034429524657270567,***
DIVP,1.268048920110687,0.6022845992063399,2.1053982150326567,0.04435382664404778,**
DIVM,-0.8054806049572255,0.8876575878151658,-0.9074226548773087,0.37192717572967143,
INF,-0.004061920653628071,0.0027334657837434786,-1.4859965241874273,0.1484538619125146,
EXR,-0.0009413533988643277,0.00040788911815366967,-2.307865929656105,0.02861009537126233,**
log(FDI),0.1427675836089174,0.03181369980603914,4.487613338886667,0.00011238277537490948,***
SHOCK,-0.020332821640103214,0.06852189696819304,-0.2967346576750705,0.768859175716322,
