p,q,n_obs,k_params,df_resid,aic,bic
1,1,33,14,19,-32.30596904998811,-9.858355627990903
1,2,33,20,13,-40.29502572253301,-8.86836693173693
2,1,33,15,18,-35.152111853578134,-11.20799087011445
2,2,33,21,12,-39.79565072431919,-6.872484372056618
